Identifiant,target,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee
18702,0,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1351,4,2012,0,2,65440
3877,1,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1972,2,1980,0,   .,14341
4942,0,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1630,4,,0,   .,75109
13428,0,2013,"0,246575342",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,532,3,,0,   .,92004
17137,0,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1050,2,1972,0,4,59340
7580,1,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2039,2,1960,0,   .,13206
11501,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750,1,1960,0,   .,33015
9102,0,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570,3,,0,   .,59350
11999,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,835,1,1980,0,   .,88383
9772,0,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1015,2,1972,0.3,3,83061
8043,0,2012,"0,081967213",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,752,3,,0,   .,59599
19571,0,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,1395,1,1960,0.6,4,10387
5907,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200,2,1960,0,   .,34324
7226,0,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900,2,1980,0,   .,67389
10850,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,270,4,1960,0,   .,6083
14454,0,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,2011,V,   .,
6189,0,2012,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,300,1,1961,0,3,74085
5214,0,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,810,2,1930,0,3,34172
1887,1,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4035,2,1980,0,   .,34032
14852,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,402,2,1960,0,   .,13204
12901,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1614,1,1988,0,   .,84137
18277,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,460,2,1960,0,2,83123
9210,0,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,750,2,1950,0,5,13205
16368,0,2013,"0,580821918",1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,eff,1,400,2,1970,0,3,95176
17910,1,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,850,3,1960,0,4,93055
14025,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,15,2,,0,   .,13001
17944,0,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,400,2,1949,0.3,3,26064
6127,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1129,1,1960,0,   .,73029
14116,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4565,4,1980,0,   .,6121
12668,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,400,4,1960,0,5,6083
12161,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,340,4,1980,0,   .,6088
13018,0,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1970,3,1960,0,   .,92024
