ID,Date,Temperature,Humidity,Humex,CO2,Bright
0,2017-08-31 23:30:00,22.7,56.0,25.7,534.0,1.0
1,2017-09-01 00:30:00,22.8,55.0,25.7,506.0,1.0
2,2017-09-01 01:30:00,22.9,55.0,25.9,577.0,1.0
3,2017-09-01 02:30:00,23.0,55.0,26.1,630.0,1.0
4,2017-09-01 03:30:00,23.0,55.0,26.1,643.0,1.0
5,2017-09-01 04:30:00,23.0,54.0,25.9,674.0,1.0
6,2017-09-01 05:30:00,23.0,54.0,25.9,672.0,1.0
7,2017-09-01 06:30:00,22.9,54.0,25.7,703.0,1.0
8,2017-09-01 07:30:00,22.9,53.0,25.6,688.0,2.0
9,2017-09-01 08:30:00,22.8,50.0,25.0,566.0,46.0
10,2017-09-01 09:30:00,22.5,46.0,23.9,417.0,429.0
11,2017-09-01 10:30:00,23.1,46.0,24.8,564.0,71.0
12,2017-09-01 11:30:00,23.5,45.0,25.2,528.0,66.0
13,2017-09-01 12:30:00,23.9,45.0,25.8,552.0,7.0
14,2017-09-01 13:30:00,24.0,43.0,25.6,621.0,12.0
15,2017-09-01 14:30:00,24.3,42.0,25.8,572.0,5.0
16,2017-09-01 15:30:00,24.0,37.0,24.6,530.0,137.0
17,2017-09-01 16:30:00,24.3,37.0,25.0,543.0,146.0
18,2017-09-01 17:30:00,24.4,37.0,25.1,405.0,2.0
19,2017-09-01 18:30:00,23.9,39.0,24.8,506.0,2.0
20,2017-09-01 19:30:00,24.0,42.0,25.4,528.0,1.0
21,2017-09-01 20:30:00,23.7,43.0,25.1,554.0,1.0
22,2017-09-01 21:30:00,23.6,44.0,25.2,593.0,1.0
23,2017-09-01 22:30:00,23.5,45.0,25.2,624.0,1.0
24,2017-09-01 23:30:00,23.3,45.0,24.9,619.0,1.0
25,2017-09-02 00:30:00,23.3,45.0,24.9,665.0,1.0
26,2017-09-02 01:30:00,23.3,46.0,25.1,658.0,1.0
27,2017-09-02 02:30:00,23.1,46.0,24.8,700.0,1.0
28,2017-09-02 03:30:00,23.1,46.0,24.8,686.0,1.0
29,2017-09-02 04:30:00,22.9,46.0,24.5,672.0,1.0
30,2017-09-02 05:30:00,22.9,46.0,24.5,661.0,1.0
31,2017-09-02 06:30:00,22.8,46.0,24.3,668.0,1.0
32,2017-09-02 07:30:00,22.7,46.0,24.2,665.0,1.0
33,2017-09-02 08:30:00,22.7,46.0,24.2,630.0,1.0
34,2017-09-02 09:30:00,22.7,45.0,24.0,487.0,7.0
35,2017-09-02 10:30:00,22.6,45.0,23.9,489.0,1.0
36,2017-09-02 11:30:00,22.6,46.0,24.1,445.0,1.0
37,2017-09-02 12:30:00,22.5,46.0,23.9,431.0,1.0
38,2017-09-02 13:30:00,22.5,46.0,23.9,464.0,3.0
39,2017-09-02 14:30:00,22.7,47.0,24.3,483.0,2.0
40,2017-09-02 15:30:00,22.9,47.0,24.6,515.0,4.0
41,2017-09-02 16:30:00,23.0,47.0,24.8,525.0,2.0
42,2017-09-02 17:30:00,23.0,47.0,24.8,542.0,2.0
43,2017-09-02 18:30:00,23.1,47.0,24.9,577.0,2.0
44,2017-09-02 19:30:00,23.0,48.0,24.9,755.0,1.0
45,2017-09-02 20:30:00,23.0,49.0,25.1,776.0,1.0
46,2017-09-02 21:30:00,22.8,49.0,24.8,780.0,1.0
47,2017-09-02 22:30:00,22.8,49.0,24.8,769.0,1.0
48,2017-09-02 23:30:00,22.7,49.0,24.7,770.0,1.0
49,2017-09-03 00:30:00,22.6,49.0,24.5,739.0,1.0
50,2017-09-03 01:30:00,22.5,49.0,24.4,713.0,1.0
51,2017-09-03 02:30:00,22.4,49.0,24.2,657.0,1.0
52,2017-09-03 03:30:00,22.3,49.0,24.1,619.0,1.0
53,2017-09-03 04:30:00,22.2,49.0,23.9,751.0,1.0
54,2017-09-03 05:30:00,22.1,49.0,23.8,793.0,1.0
55,2017-09-03 06:30:00,22.0,48.0,23.5,765.0,1.0
56,2017-09-03 07:30:00,21.9,48.0,23.3,778.0,1.0
57,2017-09-03 08:30:00,21.8,47.0,23.1,677.0,2.0
58,2017-09-03 09:30:00,21.8,49.0,23.4,690.0,6.0
59,2017-09-03 10:30:00,22.0,44.0,22.9,409.0,8.0
60,2017-09-03 11:30:00,21.5,46.0,22.5,426.0,7.0
61,2017-09-03 12:30:00,21.3,45.0,22.1,403.0,7.0
62,2017-09-03 13:30:00,21.4,45.0,22.2,403.0,2.0
63,2017-09-03 14:30:00,21.5,45.0,22.3,441.0,2.0
64,2017-09-03 15:30:00,21.8,46.0,22.9,554.0,3.0
65,2017-09-03 16:30:00,22.3,48.0,23.9,1041.0,3.0
66,2017-09-03 17:30:00,22.7,50.0,24.8,1061.0,2.0
67,2017-09-03 18:30:00,23.2,53.0,26.0,1221.0,2.0
68,2017-09-03 19:30:00,23.3,50.0,25.7,914.0,1.0
69,2017-09-03 20:30:00,23.8,52.0,26.8,1219.0,1.0
70,2017-09-03 21:30:00,23.7,50.0,26.3,710.0,1.0
71,2017-09-03 22:30:00,23.4,49.0,25.7,703.0,1.0
72,2017-09-03 23:30:00,23.3,49.0,25.5,671.0,1.0
73,2017-09-04 00:30:00,23.2,49.0,25.4,641.0,1.0
74,2017-09-04 01:30:00,23.1,49.0,25.2,636.0,1.0
75,2017-09-04 02:30:00,23.0,49.0,25.1,611.0,1.0
76,2017-09-04 03:30:00,23.0,49.0,25.1,586.0,1.0
77,2017-09-04 04:30:00,22.8,49.0,24.8,575.0,1.0
78,2017-09-04 05:30:00,22.7,49.0,24.7,568.0,1.0
79,2017-09-04 06:30:00,22.6,49.0,24.5,554.0,1.0
80,2017-09-04 07:30:00,22.5,49.0,24.4,549.0,1.0
81,2017-09-04 08:30:00,22.5,49.0,24.4,579.0,1.0
82,2017-09-04 09:30:00,22.5,51.0,24.7,963.0,3.0
83,2017-09-04 10:30:00,23.6,52.0,26.5,973.0,2.0
84,2017-09-04 11:30:00,24.5,51.0,27.7,975.0,2.0
85,2017-09-04 12:30:00,25.1,50.0,28.4,945.0,2.0
86,2017-09-04 13:30:00,25.4,49.0,28.7,873.0,1.0
87,2017-09-04 14:30:00,25.1,49.0,28.2,787.0,1.0
88,2017-09-04 15:30:00,25.0,50.0,28.3,982.0,1.0
89,2017-09-04 16:30:00,25.1,52.0,28.8,1167.0,1.0
90,2017-09-04 17:30:00,25.3,47.0,28.2,655.0,1.0
91,2017-09-04 18:30:00,25.2,40.0,26.8,407.0,3.0
92,2017-09-04 19:30:00,25.0,44.0,27.2,439.0,2.0
93,2017-09-04 20:30:00,24.6,45.0,26.8,459.0,1.0
94,2017-09-04 21:30:00,23.9,45.0,25.8,425.0,1.0
95,2017-09-04 22:30:00,22.7,47.0,24.3,444.0,1.0
96,2017-09-04 23:30:00,22.8,47.0,24.5,459.0,1.0
97,2017-09-05 00:30:00,23.0,47.0,24.8,454.0,1.0
98,2017-09-05 01:30:00,23.2,47.0,25.1,460.0,1.0
99,2017-09-05 02:30:00,23.2,47.0,25.1,458.0,1.0
100,2017-09-05 03:30:00,23.3,47.0,25.2,462.0,1.0
101,2017-09-05 04:30:00,23.2,47.0,25.1,463.0,1.0
102,2017-09-05 05:30:00,23.2,47.0,25.1,464.0,1.0
103,2017-09-05 06:30:00,23.2,47.0,25.1,470.0,1.0
104,2017-09-05 07:30:00,23.1,47.0,24.9,445.0,1.0
105,2017-09-05 08:30:00,23.1,49.0,25.2,598.0,1.0
106,2017-09-05 09:30:00,23.1,49.0,25.2,646.0,2.0
107,2017-09-05 10:30:00,23.2,50.0,25.6,760.0,2.0
108,2017-09-05 11:30:00,23.7,52.0,26.6,699.0,3.0
109,2017-09-05 12:30:00,24.2,52.0,27.4,702.0,3.0
110,2017-09-05 13:30:00,24.3,52.0,27.6,599.0,2.0
111,2017-09-05 14:30:00,24.4,52.0,27.7,556.0,2.0
112,2017-09-05 15:30:00,24.7,53.0,28.3,726.0,2.0
113,2017-09-05 16:30:00,24.8,52.0,28.3,733.0,2.0
114,2017-09-05 17:30:00,25.2,53.0,29.1,1175.0,2.0
115,2017-09-05 18:30:00,25.7,55.0,30.3,1791.0,1.0
116,2017-09-05 19:30:00,26.1,55.0,30.9,2168.0,1.0
117,2017-09-05 20:30:00,25.9,52.0,30.1,524.0,1.0
118,2017-09-05 21:30:00,25.9,53.0,30.2,622.0,1.0
119,2017-09-05 22:30:00,25.6,53.0,29.8,560.0,1.0
120,2017-09-05 23:30:00,25.3,53.0,29.3,543.0,1.0
121,2017-09-06 00:30:00,25.2,53.0,29.1,528.0,1.0
122,2017-09-06 01:30:00,25.0,53.0,28.8,539.0,1.0
123,2017-09-06 02:30:00,24.8,53.0,28.5,573.0,1.0
124,2017-09-06 03:30:00,24.7,53.0,28.3,599.0,1.0
125,2017-09-06 04:30:00,24.6,53.0,28.2,641.0,1.0
126,2017-09-06 05:30:00,24.5,53.0,28.0,613.0,1.0
127,2017-09-06 06:30:00,24.4,53.0,27.9,602.0,1.0
128,2017-09-06 07:30:00,24.3,53.0,27.7,605.0,1.0
129,2017-09-06 08:30:00,24.2,52.0,27.4,490.0,2.0
130,2017-09-06 09:30:00,23.9,51.0,26.8,495.0,2.0
131,2017-09-06 10:30:00,23.7,50.0,26.3,473.0,219.0
132,2017-09-06 11:30:00,24.3,48.0,26.9,501.0,45.0
133,2017-09-06 12:30:00,24.6,48.0,27.3,467.0,69.0
134,2017-09-06 13:30:00,24.8,47.0,27.4,494.0,18.0
135,2017-09-06 14:30:00,25.0,49.0,28.1,617.0,25.0
136,2017-09-06 15:30:00,25.0,49.0,28.1,554.0,31.0
137,2017-09-06 16:30:00,25.1,47.0,27.9,698.0,38.0
138,2017-09-06 17:30:00,25.4,47.0,28.3,902.0,58.0
139,2017-09-06 18:30:00,24.1,40.0,25.2,477.0,16.0
140,2017-09-06 19:30:00,23.5,40.0,24.4,412.0,3.0
141,2017-09-06 20:30:00,23.1,44.0,24.5,454.0,1.0
142,2017-09-06 21:30:00,23.4,49.0,25.7,562.0,1.0
143,2017-09-06 22:30:00,23.6,47.0,25.7,521.0,1.0
144,2017-09-06 23:30:00,23.6,47.0,25.7,531.0,1.0
145,2017-09-07 00:30:00,23.6,47.0,25.7,599.0,1.0
146,2017-09-07 01:30:00,23.6,47.0,25.7,604.0,1.0
147,2017-09-07 02:30:00,23.6,47.0,25.7,603.0,1.0
148,2017-09-07 03:30:00,23.5,47.0,25.5,611.0,1.0
149,2017-09-07 04:30:00,23.5,47.0,25.5,620.0,1.0
150,2017-09-07 05:30:00,23.4,47.0,25.4,619.0,1.0
151,2017-09-07 06:30:00,23.3,47.0,25.2,615.0,1.0
152,2017-09-07 07:30:00,23.3,47.0,25.2,613.0,1.0
153,2017-09-07 08:30:00,23.3,47.0,25.2,622.0,21.0
154,2017-09-07 09:30:00,23.3,46.0,25.1,578.0,149.0
155,2017-09-07 10:30:00,22.4,45.0,23.6,459.0,266.0
156,2017-09-07 11:30:00,22.6,45.0,23.9,527.0,9.0
157,2017-09-07 12:30:00,23.6,45.0,25.3,761.0,45.0
158,2017-09-07 13:30:00,23.9,44.0,25.6,697.0,26.0
159,2017-09-07 14:30:00,23.9,44.0,25.6,617.0,2.0
160,2017-09-07 15:30:00,23.8,44.0,25.5,553.0,2.0
161,2017-09-07 16:30:00,23.7,44.0,25.3,498.0,1.0
162,2017-09-07 17:30:00,23.7,44.0,25.3,511.0,74.0
163,2017-09-07 18:30:00,25.5,42.0,27.6,806.0,57.0
164,2017-09-07 19:00:00,28.3,41.0,31.6,764.0,12.0
165,2017-09-07 19:30:00,27.9,36.0,29.9,773.0,9.0
166,2017-09-07 20:00:00,26.7,41.0,29.2,546.0,1.0
167,2017-09-07 20:30:00,26.1,48.0,29.6,912.0,1.0
168,2017-09-07 21:00:00,26.3,51.0,30.5,1043.0,1.0
169,2017-09-07 21:30:00,28.1,45.0,32.1,1092.0,1.0
170,2017-09-07 22:00:00,27.8,44.0,31.4,1145.0,1.0
171,2017-09-07 22:30:00,27.2,44.0,30.5,1224.0,1.0
172,2017-09-07 23:00:00,26.5,45.0,29.6,1198.0,1.0
173,2017-09-07 23:30:00,26.0,45.0,28.9,1121.0,1.0
174,2017-09-08 00:00:00,25.5,46.0,28.3,1097.0,1.0
175,2017-09-08 00:30:00,25.1,46.0,27.7,1081.0,1.0
176,2017-09-08 01:00:00,24.8,47.0,27.4,1096.0,1.0
177,2017-09-08 01:30:00,24.5,47.0,27.0,1123.0,1.0
178,2017-09-08 02:00:00,24.2,48.0,26.7,1091.0,1.0
179,2017-09-08 02:30:00,24.1,48.0,26.6,1071.0,1.0
180,2017-09-08 03:00:00,23.8,48.0,26.1,1068.0,1.0
181,2017-09-08 03:30:00,23.7,48.0,26.0,1069.0,1.0
182,2017-09-08 04:00:00,23.6,49.0,26.0,1047.0,1.0
183,2017-09-08 04:30:00,23.4,49.0,25.7,1048.0,1.0
184,2017-09-08 05:00:00,23.3,49.0,25.5,1068.0,1.0
185,2017-09-08 05:30:00,23.2,50.0,25.6,1104.0,1.0
186,2017-09-08 06:00:00,23.1,50.0,25.4,1119.0,1.0
187,2017-09-08 06:30:00,23.0,50.0,25.3,1143.0,1.0
188,2017-09-08 07:00:00,23.0,50.0,25.3,1158.0,1.0
189,2017-09-08 07:30:00,22.9,51.0,25.3,1313.0,1.0
190,2017-09-08 08:00:00,22.9,53.0,25.6,1386.0,2.0
191,2017-09-08 08:30:00,22.8,54.0,25.6,1494.0,1.0
192,2017-09-08 09:00:00,22.3,50.0,24.2,624.0,1.0
193,2017-09-08 09:30:00,21.5,46.0,22.5,560.0,1.0
194,2017-09-08 10:10:00,22.6,50.0,24.7,806.0,540.0
195,2017-09-08 10:40:00,22.8,48.0,24.6,832.0,410.0
196,2017-09-08 11:10:00,23.1,47.0,24.9,834.0,616.0
197,2017-09-08 11:40:00,23.2,46.0,24.9,795.0,371.0
198,2017-09-08 12:10:00,23.5,44.0,25.0,845.0,565.0
199,2017-09-08 12:40:00,23.9,43.0,25.4,733.0,445.0
200,2017-09-08 13:10:00,24.0,42.0,25.4,789.0,314.0
201,2017-09-08 13:40:00,24.2,41.0,25.5,704.0,313.0
202,2017-09-08 14:20:00,24.6,40.0,25.9,786.0,353.0
203,2017-09-08 14:50:00,25.0,39.0,26.3,770.0,398.0
204,2017-09-08 15:20:00,25.1,38.0,26.3,671.0,396.0
205,2017-09-08 15:50:00,25.3,38.0,26.6,693.0,399.0
206,2017-09-08 16:20:00,25.7,37.0,26.9,645.0,279.0
207,2017-09-08 17:00:00,25.4,38.0,26.7,749.0,254.0
208,2017-09-08 17:40:00,25.1,39.0,26.5,763.0,113.0
209,2017-09-08 18:10:00,24.9,39.0,26.2,780.0,78.0
210,2017-09-08 18:40:00,24.7,40.0,26.1,735.0,44.0
211,2017-09-08 19:10:00,24.4,40.0,25.6,682.0,22.0
212,2017-09-08 19:40:00,24.2,41.0,25.5,639.0,5.0
213,2017-09-08 20:10:00,24.0,41.0,25.2,591.0,1.0
214,2017-09-08 20:50:00,23.8,42.0,25.1,535.0,1.0
215,2017-09-08 21:30:00,23.6,42.0,24.8,485.0,1.0
216,2017-09-08 22:00:00,23.4,42.0,24.6,454.0,1.0
217,2017-09-08 22:30:00,23.4,43.0,24.7,449.0,1.0
218,2017-09-08 23:00:00,23.3,43.0,24.6,442.0,1.0
219,2017-09-08 23:30:00,23.2,43.0,24.4,432.0,1.0
220,2017-09-09 00:00:00,23.1,44.0,24.5,421.0,1.0
221,2017-09-09 00:30:00,23.1,44.0,24.5,429.0,1.0
222,2017-09-09 01:00:00,23.0,44.0,24.3,423.0,1.0
223,2017-09-09 01:30:00,23.0,44.0,24.3,418.0,1.0
224,2017-09-09 02:00:00,22.9,44.0,24.2,408.0,1.0
225,2017-09-09 02:30:00,22.9,44.0,24.2,405.0,1.0
226,2017-09-09 03:00:00,22.8,44.0,24.0,408.0,1.0
227,2017-09-09 03:30:00,22.8,44.0,24.0,416.0,1.0
228,2017-09-09 04:00:00,22.8,43.0,23.9,404.0,1.0
229,2017-09-09 04:30:00,22.8,43.0,23.9,395.0,1.0
230,2017-09-09 05:00:00,22.8,43.0,23.9,397.0,1.0
231,2017-09-09 05:30:00,22.8,43.0,23.9,390.0,1.0
232,2017-09-09 06:00:00,22.8,43.0,23.9,397.0,1.0
233,2017-09-09 06:30:00,22.8,43.0,23.9,401.0,1.0
234,2017-09-09 07:00:00,22.7,43.0,23.7,400.0,1.0
235,2017-09-09 07:30:00,22.8,44.0,24.0,391.0,1.0
236,2017-09-09 08:00:00,22.7,44.0,23.9,398.0,2.0
237,2017-09-09 08:30:00,22.7,45.0,24.0,396.0,9.0
238,2017-09-09 09:00:00,22.7,46.0,24.2,401.0,9.0
239,2017-09-09 09:30:00,22.7,48.0,24.5,396.0,12.0
240,2017-09-09 10:00:00,22.7,49.0,24.7,392.0,25.0
241,2017-09-09 10:30:00,22.6,50.0,24.7,407.0,17.0
242,2017-09-09 11:00:00,22.6,50.0,24.7,398.0,27.0
243,2017-09-09 11:30:00,22.6,51.0,24.8,382.0,30.0
244,2017-09-09 12:00:00,22.5,51.0,24.7,394.0,44.0
245,2017-09-09 12:30:00,22.5,51.0,24.7,395.0,50.0
246,2017-09-09 13:00:00,22.6,52.0,25.0,382.0,57.0
247,2017-09-09 13:30:00,22.5,52.0,24.8,395.0,51.0
248,2017-09-09 14:00:00,22.6,51.0,24.8,399.0,73.0
249,2017-09-09 14:30:00,22.6,51.0,24.8,394.0,99.0
250,2017-09-09 15:00:00,22.6,51.0,24.8,398.0,140.0
251,2017-09-09 15:30:00,22.7,51.0,25.0,391.0,212.0
252,2017-09-09 16:00:00,22.8,50.0,25.0,390.0,356.0
253,2017-09-09 16:30:00,23.1,49.0,25.2,397.0,89.0
254,2017-09-09 17:00:00,23.1,49.0,25.2,394.0,70.0
255,2017-09-09 17:30:00,22.9,49.0,25.0,399.0,58.0
256,2017-09-09 18:00:00,22.9,48.0,24.8,390.0,179.0
257,2017-09-09 18:30:00,22.9,48.0,24.8,384.0,81.0
258,2017-09-09 19:00:00,22.9,48.0,24.8,396.0,21.0
259,2017-09-09 19:30:00,22.8,48.0,24.6,382.0,2.0
260,2017-09-09 20:00:00,22.7,48.0,24.5,391.0,1.0
261,2017-09-09 20:30:00,22.6,48.0,24.4,380.0,1.0
262,2017-09-09 21:00:00,22.4,48.0,24.1,387.0,1.0
263,2017-09-09 21:30:00,22.3,49.0,24.1,393.0,1.0
264,2017-09-09 22:00:00,22.3,49.0,24.1,395.0,1.0
265,2017-09-09 22:30:00,22.2,49.0,23.9,382.0,1.0
266,2017-09-09 23:00:00,22.2,49.0,23.9,398.0,1.0
267,2017-09-09 23:30:00,22.1,49.0,23.8,389.0,1.0
268,2017-09-10 00:00:00,22.1,49.0,23.8,382.0,1.0
269,2017-09-10 00:30:00,22.0,49.0,23.6,390.0,1.0
270,2017-09-10 01:00:00,22.0,49.0,23.6,390.0,1.0
271,2017-09-10 01:30:00,22.0,49.0,23.6,410.0,1.0
272,2017-09-10 02:00:00,22.0,49.0,23.6,392.0,1.0
273,2017-09-10 02:30:00,22.0,49.0,23.6,399.0,1.0
274,2017-09-10 03:00:00,21.9,49.0,23.5,401.0,1.0
275,2017-09-10 03:30:00,21.9,48.0,23.3,406.0,1.0
276,2017-09-10 04:00:00,21.9,48.0,23.3,402.0,1.0
277,2017-09-10 04:30:00,21.8,48.0,23.2,389.0,1.0
278,2017-09-10 05:00:00,21.8,48.0,23.2,395.0,1.0
279,2017-09-10 05:30:00,21.8,48.0,23.2,391.0,1.0
280,2017-09-10 06:00:00,21.7,48.0,23.1,387.0,1.0
281,2017-09-10 06:30:00,21.7,48.0,23.1,392.0,1.0
282,2017-09-10 07:00:00,21.7,48.0,23.1,393.0,1.0
283,2017-09-10 07:30:00,21.7,48.0,23.1,389.0,5.0
284,2017-09-10 08:00:00,21.6,48.0,22.9,413.0,25.0
285,2017-09-10 08:30:00,21.6,48.0,22.9,392.0,51.0
286,2017-09-10 09:00:00,21.7,48.0,23.1,404.0,171.0
287,2017-09-10 09:30:00,21.8,48.0,23.2,404.0,367.0
288,2017-09-10 10:00:00,21.9,47.0,23.2,399.0,447.0
289,2017-09-10 10:30:00,22.1,47.0,23.5,384.0,776.0
290,2017-09-10 11:00:00,22.4,46.0,23.8,397.0,882.0
291,2017-09-10 11:30:00,22.5,46.0,23.9,392.0,739.0
292,2017-09-10 12:00:00,22.6,45.0,23.9,385.0,591.0
293,2017-09-10 12:30:00,22.5,45.0,23.8,378.0,441.0
294,2017-09-10 13:00:00,22.6,44.0,23.7,384.0,360.0
295,2017-09-10 13:30:00,22.5,44.0,23.6,395.0,246.0
296,2017-09-10 14:00:00,22.6,44.0,23.7,395.0,237.0
297,2017-09-10 14:30:00,22.7,44.0,23.9,377.0,314.0
298,2017-09-10 15:00:00,22.8,43.0,23.9,379.0,194.0
299,2017-09-10 15:30:00,22.8,43.0,23.9,388.0,389.0
300,2017-09-10 16:00:00,23.2,43.0,24.4,392.0,61.0
301,2017-09-10 16:30:00,23.1,42.0,24.1,391.0,58.0
302,2017-09-10 17:00:00,23.0,42.0,24.0,378.0,144.0
303,2017-09-10 17:30:00,22.8,42.0,23.7,378.0,34.0
304,2017-09-10 18:00:00,22.7,42.0,23.6,388.0,33.0
305,2017-09-10 18:30:00,22.7,42.0,23.6,391.0,65.0
306,2017-09-10 19:00:00,22.6,42.0,23.4,391.0,13.0
307,2017-09-10 19:30:00,22.5,42.0,23.3,389.0,10.0
308,2017-09-10 20:00:00,22.4,42.0,23.2,378.0,2.0
309,2017-09-10 20:30:00,22.3,42.0,23.0,387.0,1.0
310,2017-09-10 21:00:00,22.3,42.0,23.0,401.0,1.0
311,2017-09-10 21:30:00,22.2,43.0,23.0,387.0,1.0
312,2017-09-10 22:00:00,22.1,43.0,22.9,382.0,1.0
313,2017-09-10 22:30:00,22.0,43.0,22.7,396.0,1.0
314,2017-09-10 23:00:00,22.0,43.0,22.7,406.0,1.0
315,2017-09-10 23:30:00,21.9,43.0,22.6,401.0,1.0
316,2017-09-11 00:00:00,21.9,44.0,22.8,405.0,1.0
317,2017-09-11 00:30:00,21.8,44.0,22.6,411.0,1.0
318,2017-09-11 01:00:00,21.8,44.0,22.6,400.0,1.0
319,2017-09-11 01:30:00,21.8,44.0,22.6,402.0,1.0
320,2017-09-11 02:00:00,21.7,44.0,22.5,414.0,1.0
321,2017-09-11 02:30:00,21.6,44.0,22.3,398.0,1.0
322,2017-09-11 03:10:00,21.6,44.0,22.3,400.0,1.0
323,2017-09-11 03:40:00,21.6,45.0,22.5,404.0,1.0
324,2017-09-11 04:10:00,21.6,44.0,22.3,405.0,1.0
325,2017-09-11 04:40:00,21.6,44.0,22.3,409.0,1.0
326,2017-09-11 05:10:00,21.5,44.0,22.2,406.0,1.0
327,2017-09-11 05:40:00,21.5,44.0,22.2,405.0,1.0
328,2017-09-11 06:10:00,21.5,44.0,22.2,396.0,1.0
329,2017-09-11 06:50:00,21.4,44.0,22.1,392.0,1.0
330,2017-09-11 07:20:00,21.5,44.0,22.2,408.0,8.0
331,2017-09-11 07:50:00,21.5,44.0,22.2,443.0,17.0
332,2017-09-11 08:20:00,21.6,45.0,22.5,469.0,48.0
333,2017-09-11 08:50:00,21.7,45.0,22.6,524.0,74.0
334,2017-09-11 09:20:00,21.9,45.0,22.9,634.0,128.0
335,2017-09-11 09:50:00,22.1,46.0,23.3,743.0,79.0
336,2017-09-11 10:20:00,22.3,46.0,23.6,830.0,126.0
337,2017-09-11 10:50:00,22.6,46.0,24.1,907.0,874.0
338,2017-09-11 11:20:00,23.0,45.0,24.5,934.0,381.0
339,2017-09-11 11:50:00,23.1,45.0,24.6,918.0,253.0
340,2017-09-11 12:20:00,23.2,45.0,24.8,930.0,251.0
341,2017-09-11 13:00:00,23.4,44.0,24.9,935.0,183.0
342,2017-09-11 13:30:00,23.3,44.0,24.7,934.0,253.0
343,2017-09-11 14:00:00,23.4,43.0,24.7,880.0,222.0
344,2017-09-11 14:30:00,23.7,43.0,25.1,947.0,162.0
345,2017-09-11 15:00:00,23.9,43.0,25.4,1025.0,300.0
346,2017-09-11 15:30:00,24.3,42.0,25.8,1045.0,405.0
347,2017-09-11 16:00:00,24.8,42.0,26.6,1097.0,410.0
348,2017-09-11 16:30:00,24.9,41.0,26.5,1076.0,136.0
349,2017-09-11 17:00:00,24.6,41.0,26.1,1106.0,97.0
350,2017-09-11 17:40:00,24.2,42.0,25.7,1075.0,52.0
351,2017-09-11 18:10:00,24.0,42.0,25.4,934.0,48.0
352,2017-09-11 18:40:00,23.7,41.0,24.8,827.0,35.0
353,2017-09-11 19:10:00,23.4,41.0,24.4,716.0,39.0
354,2017-09-11 19:40:00,23.2,40.0,24.0,625.0,4.0
355,2017-09-11 20:10:00,23.0,40.0,23.7,568.0,1.0
356,2017-09-11 20:40:00,22.8,40.0,23.4,518.0,1.0
357,2017-09-11 21:10:00,22.7,40.0,23.3,510.0,1.0
358,2017-09-11 21:40:00,22.6,40.0,23.1,472.0,1.0
359,2017-09-11 22:10:00,22.5,40.0,23.0,463.0,1.0
360,2017-09-11 22:40:00,22.4,41.0,23.0,447.0,1.0
361,2017-09-11 23:10:00,22.3,42.0,23.0,431.0,1.0
362,2017-09-11 23:40:00,22.3,42.0,23.0,413.0,1.0
363,2017-09-12 00:10:00,22.3,42.0,23.0,416.0,1.0
364,2017-09-12 00:40:00,22.1,43.0,22.9,423.0,1.0
365,2017-09-12 01:10:00,22.1,43.0,22.9,401.0,1.0
366,2017-09-12 01:40:00,22.1,43.0,22.9,395.0,1.0
367,2017-09-12 02:10:00,22.0,43.0,22.7,398.0,1.0
368,2017-09-12 02:40:00,22.0,44.0,22.9,404.0,1.0
369,2017-09-12 03:10:00,21.9,44.0,22.8,403.0,1.0
370,2017-09-12 03:40:00,21.9,45.0,22.9,402.0,1.0
371,2017-09-12 04:10:00,21.9,45.0,22.9,402.0,1.0
372,2017-09-12 04:40:00,21.8,45.0,22.8,403.0,1.0
373,2017-09-12 05:10:00,21.8,45.0,22.8,394.0,1.0
374,2017-09-12 05:40:00,21.8,44.0,22.6,395.0,1.0
375,2017-09-12 06:10:00,21.7,44.0,22.5,395.0,1.0
376,2017-09-12 06:40:00,21.7,44.0,22.5,406.0,1.0
377,2017-09-12 07:10:00,21.7,44.0,22.5,398.0,2.0
378,2017-09-12 07:40:00,21.7,44.0,22.5,424.0,6.0
379,2017-09-12 08:10:00,21.8,44.0,22.6,438.0,27.0
380,2017-09-12 08:40:00,21.8,44.0,22.6,462.0,62.0
381,2017-09-12 09:10:00,22.0,44.0,22.9,514.0,219.0
382,2017-09-12 09:40:00,22.3,44.0,23.3,613.0,289.0
383,2017-09-12 10:10:00,22.6,43.0,23.6,696.0,93.0
384,2017-09-12 10:40:00,22.9,43.0,24.0,703.0,172.0
385,2017-09-12 11:10:00,23.3,41.0,24.3,748.0,142.0
386,2017-09-12 11:40:00,23.3,41.0,24.3,690.0,674.0
387,2017-09-12 12:10:00,23.5,40.0,24.4,696.0,136.0
388,2017-09-12 12:40:00,23.5,39.0,24.2,627.0,146.0
389,2017-09-12 13:10:00,23.4,38.0,23.9,635.0,150.0
